"date","sample","seasonally adjusted","fit","seasonally adjusted fit","filled","seasonally adjusted filled"
1958.2027,315.7,314.41,316.17,314.88,315.7,314.41
1958.2877,317.45,315.15,317.27,314.97,317.45,315.15
1958.3699,317.5,314.72,317.83,315.05,317.5,314.72
1958.4548,-99.99,-99.99,317.26,315.13,317.26,315.13
1958.537,315.86,315.14,315.93,315.21,315.86,315.14
1958.6219,314.93,316.15,314.07,315.28,314.93,316.15
1958.7068,313.2,316.06,312.48,315.35,313.2,316.06
1958.789,-99.99,-99.99,312.41,315.41,312.41,315.41
1958.874,313.33,315.23,313.56,315.46,313.33,315.23
1958.9562,314.67,315.46,314.72,315.51,314.67,315.46
1959.0411,315.63,315.61,315.58,315.57,315.63,315.61
1959.126,316.38,315.76,316.24,315.63,316.38,315.76
1959.2027,316.71,315.42,316.98,315.68,316.71,315.42
1959.2877,317.72,315.4,318.07,315.76,317.72,315.4
1959.3699,318.29,315.5,318.63,315.84,318.29,315.5
1959.4548,318.15,316.02,318.06,315.93,318.15,316.02
1959.537,316.54,315.82,316.74,316.02,316.54,315.82
1959.6219,314.8,316.02,314.9,316.12,314.8,316.02
1959.7068,313.84,316.71,313.34,316.22,313.84,316.71
1959.789,313.26,316.27,313.3,316.31,313.26,316.27
1959.874,314.8,316.71,314.49,316.4,314.8,316.71
1959.9562,315.58,316.38,315.68,316.48,315.58,316.38
1960.041,316.43,316.42,316.57,316.56,316.43,316.42
1960.1257,316.97,316.36,317.26,316.64,316.97,316.36
1960.2049,317.58,316.26,318.04,316.72,317.58,316.26
1960.2896,319.02,316.67,319.14,316.8,319.02,316.67
1960.3716,320.03,317.23,319.67,316.87,320.03,317.23
1960.4563,319.59,317.47,319.05,316.93,319.59,317.47
1960.5383,318.18,317.48,317.68,316.98,318.18,317.48
1960.623,315.91,317.16,315.77,317.02,315.91,317.16
1960.7077,314.16,317.06,314.15,317.04,314.16,317.06
1960.7896,313.83,316.85,314.05,317.07,313.83,316.85
1960.8743,315,316.91,315.19,317.1,315,316.91
1960.9563,316.19,316.99,316.34,317.14,316.19,316.99
1961.0411,316.93,316.91,317.2,317.19,316.93,316.91
1961.126,317.7,317.08,317.87,317.25,317.7,317.08
1961.2027,318.54,317.24,318.62,317.32,318.54,317.24
1961.2877,319.48,317.15,319.73,317.4,319.48,317.15
1961.3699,320.58,317.77,320.3,317.49,320.58,317.77
1961.4548,319.77,317.63,319.73,317.58,319.77,317.63
1961.537,318.57,317.84,318.4,317.67,318.57,317.84
1961.6219,316.79,318.02,316.53,317.76,316.79,318.02
1961.7068,314.8,317.7,314.95,317.85,314.8,317.7
1961.789,315.38,318.41,314.89,317.92,315.38,318.41
1961.874,316.1,318.02,316.07,318,316.1,318.02
1961.9562,317.01,317.82,317.26,318.06,317.01,317.82
1962.0411,317.94,317.93,318.14,318.13,317.94,317.93
1962.126,318.55,317.93,318.82,318.2,318.55,317.93
1962.2027,319.68,318.37,319.56,318.26,319.68,318.37
1962.2877,320.63,318.29,320.66,318.32,320.63,318.29
1962.3699,321.01,318.2,321.21,318.39,321.01,318.2
1962.4548,320.55,318.39,320.6,318.45,320.55,318.39
1962.537,319.57,318.84,319.24,318.51,319.57,318.84
1962.6219,317.4,318.63,317.32,318.56,317.4,318.63
1962.7068,316.25,319.16,315.69,318.6,316.25,319.16
1962.789,315.42,318.46,315.6,318.64,315.42,318.46
1962.874,316.69,318.62,316.75,318.68,316.69,318.62
1962.9562,317.7,318.5,317.91,318.72,317.7,318.5
1963.0411,318.74,318.73,318.77,318.76,318.74,318.73
1963.126,319.07,318.45,319.43,318.8,319.07,318.45
1963.2027,319.86,318.55,320.16,318.85,319.86,318.55
1963.2877,321.39,319.04,321.25,318.9,321.39,319.04
1963.3699,322.25,319.42,321.78,318.96,322.25,319.42
1963.4548,321.48,319.31,321.17,319.01,321.48,319.31
1963.537,319.74,319.01,319.79,319.05,319.74,319.01
1963.6219,317.77,319.01,317.86,319.09,317.77,319.01
1963.7068,316.21,319.13,316.22,319.14,316.21,319.13
1963.789,315.99,319.04,316.13,319.18,315.99,319.04
1963.874,317.12,319.06,317.29,319.23,317.12,319.06
1963.9562,318.31,319.12,318.46,319.27,318.31,319.12
1964.041,319.57,319.56,319.33,319.32,319.57,319.56
1964.1257,-99.99,-99.99,320,319.37,320,319.37
1964.2049,-99.99,-99.99,320.75,319.41,320.75,319.41
1964.2896,-99.99,-99.99,321.83,319.46,321.83,319.46
1964.3716,322.25,319.41,322.33,319.5,322.25,319.41
1964.4563,321.89,319.74,321.68,319.53,321.89,319.74
1964.5383,320.44,319.73,320.27,319.56,320.44,319.73
1964.623,318.7,319.97,318.32,319.59,318.7,319.97
1964.7077,316.7,319.64,316.67,319.61,316.7,319.64
1964.7896,316.79,319.85,316.57,319.62,316.79,319.85
1964.8743,317.79,319.73,317.7,319.64,317.79,319.73
1964.9563,318.71,319.52,318.84,319.65,318.71,319.52
1965.0411,319.44,319.43,319.69,319.68,319.44,319.43
1965.126,320.44,319.81,320.34,319.71,320.44,319.81
1965.2027,320.89,319.57,321.07,319.75,320.89,319.57
1965.2877,322.14,319.77,322.18,319.82,322.14,319.77
1965.3699,322.16,319.32,322.74,319.89,322.16,319.32
1965.4548,321.87,319.7,322.16,319.98,321.87,319.7
1965.537,321.39,320.65,320.83,320.09,321.39,320.65
1965.6219,318.8,320.05,318.95,320.2,318.8,320.05
1965.7068,317.81,320.75,317.38,320.32,317.81,320.75
1965.789,317.3,320.37,317.36,320.43,317.3,320.37
1965.874,318.86,320.81,318.6,320.55,318.86,320.81
1965.9562,319.42,320.23,319.85,320.67,319.42,320.23
1966.0411,320.62,320.61,320.8,320.79,320.62,320.61
1966.126,321.59,320.96,321.54,320.91,321.59,320.96
1966.2027,322.39,321.07,322.34,321.02,322.39,321.07
1966.2877,323.87,321.5,323.5,321.13,323.87,321.5
1966.3699,324.01,321.15,324.09,321.23,324.01,321.15
1966.4548,323.75,321.57,323.51,321.33,323.75,321.57
1966.537,322.39,321.65,322.15,321.41,322.39,321.65
1966.6219,320.36,321.62,320.24,321.49,320.36,321.62
1966.7068,318.64,321.58,318.61,321.56,318.64,321.58
1966.789,318.1,321.18,318.54,321.62,318.1,321.18
1966.874,319.78,321.74,319.73,321.69,319.78,321.74
1966.9562,321.08,321.9,320.93,321.74,321.08,321.9
1967.0411,322.06,322.05,321.81,321.8,322.06,322.05
1967.126,322.5,321.86,322.49,321.85,322.5,321.86
1967.2027,323.04,321.71,323.23,321.9,323.04,321.71
1967.2877,324.42,322.04,324.33,321.95,324.42,322.04
1967.3699,325,322.13,324.87,322.01,325,322.13
1967.4548,324.09,321.9,324.26,322.07,324.09,321.9
1967.537,322.55,321.8,322.87,322.13,322.55,321.8
1967.6219,320.92,322.17,320.94,322.2,320.92,322.17
1967.7068,319.31,322.27,319.31,322.27,319.31,322.27
1967.789,319.31,322.4,319.25,322.34,319.31,322.4
1967.874,320.72,322.68,320.46,322.42,320.72,322.68
1967.9562,321.96,322.78,321.67,322.49,321.96,322.78
1968.041,322.57,322.56,322.58,322.57,322.57,322.56
1968.1257,323.15,322.51,323.28,322.65,323.15,322.51
1968.2049,323.89,322.53,324.08,322.73,323.89,322.53
1968.2896,325.02,322.62,325.23,322.82,325.02,322.62
1968.3716,325.57,322.69,325.79,322.92,325.57,322.69
1968.4563,325.36,323.18,325.2,323.02,325.36,323.18
1968.5383,324.14,323.42,323.85,323.13,324.14,323.42
1968.623,322.03,323.32,321.96,323.24,322.03,323.32
1968.7077,320.41,323.39,320.38,323.36,320.41,323.39
1968.7896,320.25,323.35,320.38,323.48,320.25,323.35
1968.8743,321.31,323.27,321.65,323.61,321.31,323.27
1968.9563,322.84,323.67,322.92,323.74,322.84,323.67
1969.0411,324,323.99,323.9,323.88,324,323.99
1969.126,324.42,323.78,324.67,324.03,324.42,323.78
1969.2027,325.64,324.3,325.5,324.16,325.64,324.3
1969.2877,326.66,324.27,326.7,324.3,326.66,324.27
1969.3699,327.34,324.46,327.33,324.44,327.34,324.46
1969.4548,326.76,324.56,326.78,324.57,326.76,324.56
1969.537,325.88,325.13,325.44,324.69,325.88,325.13
1969.6219,323.67,324.93,323.54,324.81,323.67,324.93
1969.7068,322.38,325.36,321.93,324.91,322.38,325.36
1969.789,321.78,324.89,321.88,324.99,321.78,324.89
1969.874,322.85,324.83,323.1,325.08,322.85,324.83
1969.9562,324.11,324.94,324.33,325.16,324.11,324.94
1970.0411,325.03,325.02,325.25,325.24,325.03,325.02
1970.126,325.99,325.35,325.96,325.32,325.99,325.35
1970.2027,326.87,325.53,326.73,325.39,326.87,325.53
1970.2877,328.14,325.73,327.87,325.47,328.14,325.73
1970.3699,328.07,325.18,328.44,325.55,328.07,325.18
1970.4548,327.66,325.45,327.84,325.63,327.66,325.45
1970.537,326.35,325.59,326.45,325.7,326.35,325.59
1970.6219,324.69,325.95,324.5,325.77,324.69,325.95
1970.7068,323.1,326.08,322.85,325.84,323.1,326.08
1970.789,323.16,326.29,322.76,325.89,323.16,326.29
1970.874,323.98,325.96,323.95,325.93,323.98,325.96
1970.9562,325.13,325.96,325.14,325.97,325.13,325.96
1971.0411,326.17,326.16,326.02,326.01,326.17,326.16
1971.126,326.68,326.04,326.69,326.04,326.68,326.04
1971.2027,327.18,325.83,327.42,326.08,327.18,325.83
1971.2877,327.79,325.38,328.54,326.13,327.79,325.38
1971.3699,328.92,326.02,329.09,326.19,328.92,326.02
