year,ppm
1958.2027,314.41
1958.2877,315.15
1958.3699,314.72
1958.4548,-99.99
1958.537,315.14
1958.6219,316.15
1958.7068,316.06
1958.789,-99.99
1958.874,315.23
1958.9562,315.46
1959.0411,315.61
1959.126,315.76
1959.2027,315.42
1959.2877,315.4
1959.3699,315.5
1959.4548,316.02
1959.537,315.82
1959.6219,316.02
1959.7068,316.71
1959.789,316.27
1959.874,316.71
1959.9562,316.38
1960.041,316.42
1960.1257,316.36
1960.2049,316.26
1960.2896,316.67
1960.3716,317.23
1960.4563,317.47
1960.5383,317.48
1960.623,317.16
1960.7077,317.06
1960.7896,316.85
1960.8743,316.91
1960.9563,316.99
1961.0411,316.91
1961.126,317.08
1961.2027,317.24
1961.2877,317.15
1961.3699,317.77
1961.4548,317.63
1961.537,317.84
1961.6219,318.02
1961.7068,317.7
1961.789,318.41
1961.874,318.02
1961.9562,317.82
1962.0411,317.93
1962.126,317.93
1962.2027,318.37
1962.2877,318.29
1962.3699,318.2
1962.4548,318.39
1962.537,318.84
1962.6219,318.63
1962.7068,319.16
1962.789,318.46
1962.874,318.62
1962.9562,318.5
1963.0411,318.73
1963.126,318.45
1963.2027,318.55
1963.2877,319.04
1963.3699,319.42
1963.4548,319.31
1963.537,319.01
1963.6219,319.01
1963.7068,319.13
1963.789,319.04
1963.874,319.06
1963.9562,319.12
1964.041,319.56
1964.1257,-99.99
1964.2049,-99.99
1964.2896,-99.99
1964.3716,319.41
1964.4563,319.74
1964.5383,319.73
1964.623,319.97
1964.7077,319.64
1964.7896,319.85
1964.8743,319.73
1964.9563,319.52
1965.0411,319.43
1965.126,319.81
1965.2027,319.57
1965.2877,319.77
1965.3699,319.32
1965.4548,319.7
1965.537,320.65
1965.6219,320.05
1965.7068,320.75
1965.789,320.37
1965.874,320.81
1965.9562,320.23
1966.0411,320.61
1966.126,320.96
1966.2027,321.07
1966.2877,321.5
1966.3699,321.15
1966.4548,321.57
1966.537,321.65
1966.6219,321.62
1966.7068,321.58
1966.789,321.18
1966.874,321.74
1966.9562,321.9
1967.0411,322.05
1967.126,321.86
1967.2027,321.71
1967.2877,322.04
1967.3699,322.13
1967.4548,321.9
1967.537,321.8
1967.6219,322.17
1967.7068,322.27
1967.789,322.4
1967.874,322.68
1967.9562,322.78
1968.041,322.56
1968.1257,322.51
1968.2049,322.53
1968.2896,322.62
1968.3716,322.69
1968.4563,323.18
1968.5383,323.42
1968.623,323.32
1968.7077,323.39
1968.7896,323.35
1968.8743,323.27
1968.9563,323.67
1969.0411,323.99
1969.126,323.78
1969.2027,324.3
1969.2877,324.27
1969.3699,324.46
1969.4548,324.56
1969.537,325.13
1969.6219,324.93
1969.7068,325.36
1969.789,324.89
1969.874,324.83
1969.9562,324.94
1970.0411,325.02
1970.126,325.35
1970.2027,325.53
1970.2877,325.73
1970.3699,325.18
1970.4548,325.45
1970.537,325.59
1970.6219,325.95
1970.7068,326.08
1970.789,326.29
1970.874,325.96
1970.9562,325.96
1971.0411,326.16
1971.126,326.04
1971.2027,325.83
1971.2877,325.38
1971.3699,326.02
1971.4548,326.35
1971.537,326.58
1971.6219,326.73
1971.7068,326.36
1971.789,326.7
1971.874,326.78
1971.9562,326.85
1972.041,326.76
1972.1257,326.99
1972.2049,326.38
1972.2896,327.29
1972.3716,327.16
1972.4563,326.88
1972.5383,327.32
1972.623,327.62
1972.7077,327.95
1972.7896,328.2
1972.8743,328.49
1972.9563,328.39
1973.0411,328.53
1973.126,328.91
1973.2027,328.95
1973.2877,329.08
1973.3699,329.55
1973.4548,329.84
1973.537,330.11
1973.6219,330.59
1973.7068,330.53
1973.789,330.34
1973.874,330.16
1973.9562,329.48
1974.0411,329.34
1974.126,330.06
1974.2027,330.12
1974.2877,330.22
1974.3699,330.15
1974.4548,330.01
1974.537,330.42
1974.6219,330.68
1974.7068,330.46
1974.789,330.54
1974.874,330.46
1974.9562,330.41
1975.0411,330.39
1975.126,330.75
1975.2027,330.68
1975.2877,330.87
1975.3699,331.02
1975.4548,331.35
1975.537,331.14
1975.6219,331.35
1975.7068,331.59
1975.789,331.52
1975.874,331.5
1975.9562,331.61
1976.041,331.73
1976.1257,331.91
1976.2049,332.1
1976.2896,332.11
1976.3716,331.92
1976.4563,332.1
1976.5383,332.31
1976.623,332.26
1976.7077,332.36
1976.7896,332.12
1976.8743,332.32
1976.9563,332.53
1977.0411,332.91
1977.126,332.76
1977.2027,333.33
1977.2877,333.61
1977.3699,333.78
1977.4548,334
1977.537,334.16
1977.6219,334.05
1977.7068,334.64
1977.789,334.36
1977.874,334.43
1977.9562,334.7
1978.0411,334.96
1978.126,334.73
1978.2027,335.27
1978.2877,335.29
1978.3699,335.04
1978.4548,335.62
1978.537,335.77
1978.6219,335.98
1978.7068,335.83
1978.789,335.75
1978.874,335.95
1978.9562,335.8
1979.0411,336.21
1979.126,336.1
1979.2027,336.58
1979.2877,336.41
1979.3699,336.49
1979.4548,337.01
1979.537,336.96
1979.6219,337.39
